page_id	page_title	rev_id	timestamp	type	id
1215259	Royal Alexandra Theatre	196442350	2008-03-07T02:26:14Z	isbn	155278648X
1215264	William David Kenny	70114746	2006-08-16T22:55:05Z	isbn	1899243003
1071797	Chicken of the Sea	531179380	2013-01-04T00:27:26Z	isbn	9781884956034
1071797	Chicken of the Sea	531179380	2013-01-04T00:27:26Z	isbn	1884956033
1325054	Tony Galento	82638992	2006-10-20T15:32:58Z	isbn	1586421158
1325054	Tony Galento	517688679	2012-10-14T05:55:43Z	isbn	0805005307
1013884	Limbu people	424856464	2011-04-19T13:48:22Z	isbn	8170997941
1013884	Limbu people	347414735	2010-03-03T01:00:09Z	isbn	9788173870903
1013884	Limbu people	347414735	2010-03-03T01:00:09Z	isbn	9788120605800
1580706	Anthony Stanislas Radziwill	438581053	2011-07-09T14:05:06Z	isbn	074327718X
1013899	Valhalla (crater)	268245417	2009-02-03T13:39:07Z	doi	10.1016/S0019-1035(02)00048-9
1013899	Valhalla (crater)	220955939	2008-06-22T11:30:41Z	doi	10.1016/S0032-0633(00)00050-7
1013899	Valhalla (crater)	268247858	2009-02-03T13:56:51Z	doi	10.1029/95JE01855
1215271	For What It's Worth (Buffalo Springfield song)	471591413	2012-01-16T00:26:33Z	isbn	9780815412816
1424230	International Sugar Organization	448845255	2011-09-07T00:44:09Z	isbn	079238072X
1424230	International Sugar Organization	448845255	2011-09-07T00:44:09Z	isbn	9780810858275
1013900	Arthur M. Schlesinger, Jr.	603507282	2014-04-09T21:26:52Z	isbn	0791069451
1303230	Water privatization	433697414	2011-06-11T10:19:38Z	isbn	9264028676
1303230	Water privatization	42474383	2006-03-06T13:03:33Z	isbn	1842775642
925084	Palais-Royal	498003619	2012-06-17T10:58:55Z	isbn	9780511000423
1303230	Water privatization	433268903	2011-06-08T20:27:45Z	isbn	9781595581860
925084	Palais-Royal	498003619	2012-06-17T10:58:55Z	isbn	9783930698967
925084	Palais-Royal	498003619	2012-06-17T10:58:55Z	isbn	9780521034722
925084	Palais-Royal	498003619	2012-06-17T10:58:55Z	isbn	9780313289606
925084	Palais-Royal	498003619	2012-06-17T10:58:55Z	isbn	9780773483927
925084	Palais-Royal	498149425	2012-06-18T09:23:35Z	isbn	9782213593166
925084	Palais-Royal	665143008	2015-06-02T08:17:23Z	isbn	9782735111879
1303230	Water privatization	433429075	2011-06-09T18:54:47Z	doi	10.1177/0042098007085108
1303230	Water privatization	621690779	2014-08-17T22:34:52Z	doi	10.1002/jid.1458/abstract
1303230	Water privatization	15754151	2005-06-24T00:51:11Z	isbn	9071007103
1303230	Water privatization	457685481	2011-10-27T17:15:39Z	isbn	9780821379561
1303230	Water privatization	69580023	2006-08-14T13:32:38Z	isbn	9780415232081
1303230	Water privatization	551065174	2013-04-19T01:24:46Z	doi	10.1080/09614524.2013.772116
925084	Palais-Royal	407967228	2011-01-15T04:27:00Z	isbn	9781400034871
925084	Palais-Royal	498003619	2012-06-17T10:58:55Z	isbn	9780686460367
925085	Stuck in the Middle with You	407909905	2011-01-14T21:40:26Z	isbn	9780670034567
925085	Stuck in the Middle with You	406186086	2011-01-06T00:26:35Z	isbn	1904994105
925085	Stuck in the Middle with You	406186086	2011-01-06T00:26:35Z	isbn	0898201551
1424274	League (unit)	639095303	2014-12-21T22:02:26Z	isbn	9781447111221
972046	Red Top (missile)	416709915	2011-03-02T09:35:58Z	isbn	1852605413
972046	Red Top (missile)	416709915	2011-03-02T09:35:58Z	isbn	1576073459
972046	Red Top (missile)	408387463	2011-01-17T13:15:48Z	isbn	9781857802580
972055	John Davis (Massachusetts governor)	544416132	2013-03-15T17:13:57Z	isbn	0060390336
972055	John Davis (Massachusetts governor)	542084540	2013-03-04T19:01:58Z	isbn	9780195038774
972055	John Davis (Massachusetts governor)	548321483	2013-04-02T14:14:33Z	isbn	9781851098538
972055	John Davis (Massachusetts governor)	548758155	2013-04-05T01:07:43Z	isbn	9780195206357
972055	John Davis (Massachusetts governor)	543732437	2013-03-13T00:49:46Z	isbn	9780415937559
972055	John Davis (Massachusetts governor)	542084540	2013-03-04T19:01:58Z	isbn	9780393045529
972055	John Davis (Massachusetts governor)	542079244	2013-03-04T18:23:22Z	isbn	9780945636250
972055	John Davis (Massachusetts governor)	547298596	2013-03-27T17:26:30Z	isbn	9780743297431
972055	John Davis (Massachusetts governor)	549433043	2013-04-09T01:30:33Z	isbn	9780914274124
972055	John Davis (Massachusetts governor)	548758155	2013-04-05T01:07:43Z	isbn	9780395139981
972055	John Davis (Massachusetts governor)	547686290	2013-03-29T20:56:54Z	isbn	9780195055443
