page_id	page_title	rev_id	timestamp	type	id
1303494	Suffix array	510765534	2012-09-04T14:52:17Z	doi	10.1016/S1570-8667(03)00065-0
1303494	Suffix array	510765534	2012-09-04T14:52:17Z	doi	10.1109/SFCS.1997.646102
1303494	Suffix array	510765534	2012-09-04T14:52:17Z	doi	10.1016/j.parco.2007.06.004
1303494	Suffix array	510765534	2012-09-04T14:52:17Z	doi	10.1002/(SICI)1097-024X(199911)29:13<1149::AID-SPE274>3.0.CO;2-O
1303494	Suffix array	292225360	2009-05-25T14:01:51Z	doi	10.1016/j.jda.2009.02.007
1303494	Suffix array	510765534	2012-09-04T14:52:17Z	doi	10.1145/1227161.1402296
1303494	Suffix array	510765534	2012-09-04T14:52:17Z	doi	10.1109/DCC.2009.42
1303494	Suffix array	510765534	2012-09-04T14:52:17Z	doi	10.1007/3-540-45784-4_35
925380	Sandy Frank	620795783	2014-08-11T17:21:35Z	doi	10.1177/1367877912464538
925384	Sitatunga	601779911	2014-03-29T08:58:48Z	doi	10.1111/j.1748-1090.1968.tb00464.x
925384	Sitatunga	601779911	2014-03-29T08:58:48Z	doi	10.1007/BF00344021
1303547	Endocerida	262808061	2009-01-08T19:32:54Z	doi	10.1134/S0031030108110014
1303547	Endocerida	262799366	2009-01-08T18:51:51Z	doi	10.1016/j.palaeo.2008.12.015
1137033	Abstract semantic graph	562333647	2013-07-01T02:35:54Z	doi	10.1093/logcom/exr021
1137033	Abstract semantic graph	562333647	2013-07-01T02:35:54Z	doi	10.1007/3-540-17945-3_8
1071855	Finke River	209985455	2008-05-03T22:07:35Z	doi	10.1046/j.1440-0952.2001.00909.x
1137064	Townsend Cromwell	354471732	2010-04-07T05:22:43Z	doi	10.1038/182601a0
1137064	Townsend Cromwell	354471732	2010-04-07T05:22:43Z	doi	10.1016/0146-6313(59)90086-3
1580943	Laminitis	221064600	2008-06-22T22:17:14Z	doi	10.1016/S0737-0806(97)80186-4
1580943	Laminitis	170894228	2007-11-12T03:52:37Z	doi	10.2460/ajvr.68.11.1205
1580943	Laminitis	206766288	2008-04-19T21:40:06Z	doi	10.1111/j.1740-8261.2006.00128.x
1580949	Bog lemming	530730397	2013-01-01T08:52:28Z	doi	10.5962/bhl.title.45808
1580980	Adamson Act	601353464	2014-03-26T14:03:01Z	doi	10.1080/00236566208583906
1137111	Spherical cap	476507705	2012-02-12T20:29:51Z	doi	10.1021/j100785a001
1137111	Spherical cap	476487245	2012-02-12T18:22:36Z	doi	10.1021/ja00291a006
1137111	Spherical cap	475653905	2012-02-07T22:17:43Z	doi	10.3923/ajms.2011.66.70
1137111	Spherical cap	609266897	2014-05-19T17:49:49Z	doi	10.1002/jcc.540150504
1137111	Spherical cap	476487245	2012-02-12T18:22:36Z	doi	10.1016/0097-8485(82)80006-5
1013950	Heilbronn triangle problem	541944143	2013-03-03T21:09:15Z	doi	10.1002/rsa.10024
1424372	Elections in Egypt	375086947	2010-07-23T19:46:35Z	doi	10.1016/0261-3794(84)90025-8
1580896	Ming Xiaoling Mausoleum	447264349	2011-08-29T05:50:30Z	doi	10.4028/www.scientific.net/AMR.163-167.2618
925271	Chaco Culture National Historical Park	171438368	2007-11-14T14:48:29Z	doi	10.1073/pnas.211305498
925271	Chaco Culture National Historical Park	322576059	2009-10-28T18:09:38Z	doi	10.1016/j.jas.2005.01.016
1424432	Autar Singh Paintal	440630146	2011-07-21T10:18:53Z	doi	10.1098/rsbm.2006.0018
1325327	Pierre Gemayel	497067654	2012-06-11T14:46:08Z	doi	10.1177/0002716211398434
1215420	Trajan's Bridge	376344487	2010-07-31T00:00:09Z	doi	10.1111/j.1095-9270.2008.00216.x
1424498	Andalusian classical music	616989239	2014-07-15T01:21:49Z	doi	10.2307/3345093
